signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.05440071810111971	0.055324892821925646	0.054356498150820526	0.018736491532287767	0.10734674891342523	0.029100915241505914	0.04515396898631637	0.0644410673704109	0.08673230955376951
Rearrangement Signature 2	0.7161246663902443	0.7138580152321071	0.7155740303333897	0.5998063445739646	0.8013042436896902	0.6473588169351936	0.6938740466295956	0.7347833735224429	0.7743185508710358
Rearrangement Signature 3	0.04864994969376575	0.05619068534623404	0.054633443750677135	0.021761923941864728	0.11450010582008693	0.02845655860679981	0.04481373751380474	0.06649911515969156	0.08962885848097189
Rearrangement Signature 4	9.889156522589284e-4	0.003057415246737184	0.0021955519947278916	4.989791834860883e-7	0.020965730258188913	5.19696106228979e-5	8.94153828352754e-4	0.004412990237604194	0.010125346298514177
Rearrangement Signature 5	0.15445418538996986	0.16825385423971548	0.16688390517160617	0.0783402340566712	0.29083859505423687	0.11284837199608042	0.1475789281023201	0.18861695571611137	0.2315422500703065
Rearrangement Signature 6	0.0010103474859360687	0.0033151371132805487	0.0022852900158974038	2.6023337261205093e-6	0.02530230154719984	9.503033452868751e-5	9.658822656073915e-4	0.0046828999724384465	0.011697173267724542
