signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.014492810447332055	0.016338261914023326	0.015074054678078024	5.250107127611409e-4	0.06398805539179052	0.0020639502972258387	0.010075454462995601	0.021287052228325505	0.03846925116027292
Rearrangement Signature 2	0.6877094741853724	0.6817799741343799	0.6827460764441426	0.5876628384372661	0.7797578746301298	0.6155139580582283	0.6586186460972315	0.705354072395954	0.7461130942229354
Rearrangement Signature 3	0.06575663741201918	0.06498365774923665	0.06394554363180709	0.01790033095228504	0.14882660756516936	0.03307370074425348	0.05156798846169226	0.07570218111532895	0.10726835747983467
Rearrangement Signature 4	0.002198494184382691	0.006385155219722145	0.0048480605982458725	3.413542173178777e-5	0.03262566936073338	2.3439663272498414e-4	0.0022500053915166466	0.0090471181675373	0.020568670453841656
Rearrangement Signature 5	0.22677184565443637	0.22024501270636135	0.21930924523332718	0.1320902541572303	0.3219150331223599	0.1562709162189408	0.19713682067747978	0.2406968532388771	0.2877004215212345
Rearrangement Signature 6	0.00825971069972648	0.010267938276276688	0.009320688858908743	3.240104028545687e-5	0.040012268588651506	7.398132367687036e-4	0.005374163749953635	0.013959421299112741	0.026766118943422585
