signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	0.01439906084079009	0.015454313111700117	0.014618894093185352	1.6944523192227574e-4	0.0705189693288193	0.0015201779051866287	0.00830850599812753	0.0213489366841381	0.03547072125178914
Signature 2	0.11308188496220371	0.11318187367447807	0.11301831291725244	0.08889216449041626	0.13692634277684956	0.0978696219471708	0.10777750842014557	0.1179580041223666	0.12878114823754483
Signature 3	0.0075025172819500885	0.024593634729642253	0.02128464723655179	6.491017162042345e-5	0.09907486282862193	0.0015432571443897234	0.010316148001378585	0.03509326847344811	0.06707851969471426
Signature 4	5.205874676859923e-4	0.0015291912472128171	0.0011297789268027614	4.754784512771405e-7	0.007116703410970929	6.298251706175539e-5	5.078800306897269e-4	0.00223817382622475	0.00503511545613632
Signature 5	0.30807237687740513	0.30273340561839573	0.3052844571037765	0.1195509888967434	0.4568497676376173	0.19635363109046644	0.26764663378570563	0.34149330247812804	0.4024099334720016
Signature 6	7.095577710691705e-4	0.0021337017451066	0.0015736072459436989	3.53468047479447e-6	0.020418366308299435	4.991032785645938e-5	6.886111888254611e-4	0.002886356372595186	0.007194514008921912
Signature 7	6.161707343886721e-4	0.001969784948842321	0.001493484039965041	8.700732952673767e-6	0.011222656518673546	5.6559289315608036e-5	6.571958154760867e-4	0.0027326784039892124	0.006505440416243204
Signature 8	0.16243375201377896	0.16423607107654964	0.16391796010597592	0.08005182936198318	0.23137799273974652	0.11687847404069233	0.14736650517185051	0.18072937265807482	0.20980585555394493
Signature 9	0.17242562916735635	0.16602833502743766	0.1677186550327084	0.09077062562359281	0.223900379526873	0.11895115043774855	0.15102133943104912	0.18191494115339596	0.2098327316101875
Signature 10	3.044323311264383e-4	0.0011424208853037508	7.13805388267038e-4	5.508988552077162e-7	0.00618392359226751	2.406261005019981e-5	2.8574255542721276e-4	0.0016219634048114126	0.004250544120942692
Signature 11	0.0013926403429208598	0.004149308294511772	0.0029886150139894377	7.37723574620075e-6	0.02405784205312985	1.4958575814986414e-4	0.0013636012444860264	0.005748267283004588	0.014633461879098336
Signature 12	0.03654399788871005	0.038732373834877064	0.037434461911638996	6.947997733987085e-4	0.12555207054363499	0.002773570075748263	0.02216973917114434	0.05273233562463902	0.08199970444045775
Signature 13	3.1186685575702703e-4	0.0011147794679248811	7.842296518901199e-4	1.6742466711746673e-6	0.006932392217623338	2.3377684413837795e-5	3.0793623216323365e-4	0.0015915952939938626	0.004088429079347921
Signature 14	4.108436750970255e-4	0.0011434532581200325	8.302639587330169e-4	1.0105800164368192e-6	0.00628357076563573	3.463542836482845e-5	3.909999172316329e-4	0.0015642263128236987	0.004120188437090426
Signature 15	6.721372909087753e-4	0.002061118754197318	0.0014499683453257585	1.005326295589224e-5	0.010026007191405856	7.730764501747302e-5	6.549634115324478e-4	0.002946263262286242	0.006926891948507051
Signature 16	0.09434732202535526	0.08918271963624029	0.08932108000055328	4.902409955036192e-4	0.214618873548113	0.015664024160011697	0.06421270727768505	0.11195604083094056	0.16281902653374639
Signature 17	6.046860997273235e-4	0.0018986194096294335	0.0013360159871759862	7.493338602964654e-7	0.013073073638341332	4.7093060912838864e-5	5.811874983332388e-4	0.0026587950547575317	0.007030475304051088
Signature 18	3.952602099975423e-4	0.0015042180802238886	0.001080813986637856	6.155724179340465e-7	0.01269970318626025	2.828215201914722e-5	4.155560482052443e-4	0.0021404815384780847	0.005303724775286111
Signature 19	0.0010547488364494868	0.0030584989816013894	0.0021186868845932388	2.8640978390190764e-5	0.015854616914302982	1.2860729365197035e-4	0.0010016899290257889	0.004368431098822012	0.010582518717925897
Signature 20	3.715864844709753e-4	0.0014344194101072183	9.436489335120134e-4	1.9033852954275373e-7	0.011900828032377877	3.467672481616402e-5	3.697701122493616e-4	0.002044296972590124	0.005191582291704993
Signature 21	8.204800725623916e-4	0.002703473000706405	0.0019089807754720017	3.2035642238324268e-6	0.017325683959980274	4.576948524146199e-5	7.511930929081689e-4	0.0038553203546080115	0.009752621139144955
Signature 22	3.558626098402155e-4	0.0014370156904700056	9.429339863012412e-4	2.0495629827189383e-6	0.009920871763211646	1.9530556419458927e-5	3.522654132376967e-4	0.0019614137536050607	0.005674494012892472
Signature 23	4.0794860669058784e-4	0.0012157949829194451	8.169945743864205e-4	2.456302175233151e-6	0.007466938845773079	2.5204011964824993e-5	3.7875995064779616e-4	0.0017133876754148966	0.004297608112939314
Signature 24	2.4362852277964007e-4	8.744672369646224e-4	6.1166942948819e-4	1.245009790278832e-6	0.005478518739660315	2.493602019172077e-5	2.620056075131752e-4	0.0011584562296825117	0.0034584768030726703
Signature 25	0.005363694661730615	0.014328529089633285	0.011589933172481564	1.2285944957792032e-5	0.07042186765131428	5.692202257562166e-4	0.00542179503502648	0.020558489168654007	0.04365430796077629
Signature 26	0.001033587386065439	0.0036749667917362035	0.002689851896197089	6.898096690158242e-6	0.024658598786097663	1.1172280407742197e-4	0.0011410527560130924	0.004922754074955043	0.013001325697097575
Signature 27	0.02220644395873063	0.022030054831025415	0.021977167022799407	0.0010903649305079983	0.04093972382574264	0.010056557044003702	0.017673542476861172	0.026480948191214854	0.03414632081241508
Signature 28	0.0018016418507023095	0.00550178942873764	0.004587217181634495	1.998413575031364e-6	0.02751583763157861	2.6589626888155515e-4	0.0021191001322886	0.00793041875276552	0.016297603866410063
Signature 29	4.8821475971862986e-4	0.0018701860454509041	0.0014107712352830178	3.489226611625964e-7	0.01324824548147431	5.215239677295946e-5	5.22061044775232e-4	0.0026348100353404853	0.006240689793382991
Signature 30	0.00408745107794229	0.009081481710253827	0.007279755981585352	7.54888561689494e-6	0.038143403303358484	3.8227816685578646e-4	0.003490059593338159	0.012543879195548037	0.028779531781850977
