mutation_type	count
non-clustered|DEL|>10Mb	2
non-clustered|DEL|1-10kb	28
non-clustered|DEL|10-100kb	27
non-clustered|DEL|100kb-1Mb	32
non-clustered|DEL|1Mb-10Mb	8
non-clustered|DUP|>10Mb	9
non-clustered|DUP|1-10kb	11
non-clustered|DUP|10-100kb	21
non-clustered|DUP|100kb-1Mb	22
non-clustered|DUP|1Mb-10Mb	8
non-clustered|INV|>10Mb	11
non-clustered|INV|1-10kb	9
non-clustered|INV|10-100kb	24
non-clustered|INV|100kb-1Mb	24
non-clustered|INV|1Mb-10Mb	19
non-clustered|TRA|	159
clustered|DEL|1-10kb	4
clustered|DEL|10-100kb	6
clustered|DEL|100kb-1Mb	4
clustered|DEL|1Mb-10Mb	3
clustered|DUP|>10Mb	1
clustered|DUP|1-10kb	5
clustered|DUP|10-100kb	7
clustered|DUP|100kb-1Mb	5
clustered|DUP|1Mb-10Mb	2
clustered|INV|>10Mb	1
clustered|INV|1-10kb	1
clustered|INV|10-100kb	2
clustered|INV|100kb-1Mb	2
clustered|INV|1Mb-10Mb	2
clustered|TRA|	6
clustered|DEL|>10Mb	0
