signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	0.10008705872090282	0.09904092919588245	0.09917359863800629	0.05826056828923939	0.13614714791843324	0.07568258862133824	0.09074001714000243	0.10750558390788506	0.12164656917816039
Signature 2	0.004423475150931045	0.006130311257722094	0.005620179400645618	9.646301017873341e-5	0.023094047505033237	4.5148224902070034e-4	0.0029682138560253907	0.008396696096211177	0.01555565073543989
Signature 3	0.40575320775603746	0.4143986652812743	0.4140922794152768	0.3160549435310401	0.4958807726777308	0.35818965272094183	0.39677428831086237	0.4341371969967206	0.4659024349663783
Signature 4	9.042163145386163e-4	0.002800635959970397	0.0020091573992467287	2.031144793382297e-7	0.01800643730011162	7.6901545672615e-5	8.77378168208007e-4	0.004072703616995672	0.009514512664153462
Signature 5	0.030623053207553916	0.07430829345220506	0.0666458895336996	1.6343275656462364e-4	0.2718554584833313	0.005270275903389209	0.0329871660468833	0.10924481805691724	0.19076801065044113
Signature 6	0.0022799910966070183	0.006804789826891736	0.0051738217147853476	1.998976089451021e-6	0.03875028904598823	2.6770339008022945e-4	0.0023912169505588532	0.009337857036209601	0.02360517940777198
Signature 7	7.204412618226751e-4	0.0028240852718729595	0.0021208345093470023	5.236282209473829e-7	0.017311236748053863	5.28386510920372e-5	7.460886272400198e-4	0.004088389798820431	0.009647360735267311
Signature 8	0.007282827875358732	0.016783948291871544	0.014349957236530111	4.333265591127081e-5	0.07579329875835615	9.364713653606866e-4	0.007306115436449809	0.024125267212043694	0.04713285982405436
Signature 9	0.07616565270874603	0.08324746073890248	0.08315775511313973	0.024911637680459644	0.14354931753222144	0.04490215043385533	0.07158393438071668	0.09654096837710313	0.11851570864933324
Signature 10	5.418925644915613e-4	0.00189113045055774	0.0013373388017538545	3.9985070181069574e-7	0.013577067190283874	5.0325542966045846e-5	5.79164856860863e-4	0.0025721738043732387	0.007025228373676289
Signature 11	0.009116305096082907	0.01390679231958381	0.013468833779877006	5.189254209156439e-5	0.04242283833029211	7.944183375033914e-4	0.007471168888140877	0.019817945964645266	0.030746676292670156
Signature 12	0.007823061851455235	0.01927201206823396	0.016609196164860833	3.9200522125175895e-6	0.08418159091053	7.085468954749341e-4	0.007925090650342637	0.02779487720534764	0.052357569794871384
Signature 13	9.179577479578092e-4	0.002277141131626793	0.0017207378709699164	2.574081723067318e-6	0.01226430275141013	8.824811008732692e-5	8.622891346098944e-4	0.0032274680032219893	0.007334080317304855
Signature 14	7.365331363771081e-4	0.002176100395076504	0.0016384447749198299	6.533837039495901e-6	0.016362874502670686	1.1277428304816321e-4	7.493643215805446e-4	0.003053482266778487	0.007308302669572428
Signature 15	7.208137241760716e-4	0.002949855590179843	0.00213528975093952	9.68321199065013e-7	0.01700587055360288	6.256701068381034e-5	7.757793940377111e-4	0.004228349848967984	0.010890800060979502
Signature 16	0.16715392281587924	0.1599262115476271	0.1617098570215799	0.06099529803901704	0.2593084644799618	0.08771835730074391	0.13633816176580627	0.1841221195954566	0.22069360091950582
Signature 17	4.467406572015585e-4	0.0016256671240890308	0.0011390265595213364	1.5302711317121514e-6	0.008291550383407127	3.0413752537802427e-5	4.42262872767358e-4	0.0022913050965377426	0.0058612743865063465
Signature 18	3.78707975340657e-4	0.0014268740295015133	9.97070900872152e-4	3.0289798234534865e-6	0.009494964384525986	2.3511722018291745e-5	4.013759443289702e-4	0.002009515210109669	0.005303626334036575
