signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.06503498336454185	0.06819841773412456	0.06678963095039353	0.02522454619443221	0.1258896418042756	0.03771453228065174	0.054767097939304864	0.07983243567899032	0.10820662545360868
Rearrangement Signature 2	0.6673970155921176	0.6621296486100966	0.6630729446998678	0.5523007387069626	0.7775824887255401	0.5887135632525811	0.6361790597376964	0.6899492055502151	0.7332979513097249
Rearrangement Signature 3	0.03527260757704337	0.03913568523531064	0.037263621973223526	0.004938502821746287	0.12149942041974911	0.012615691673909458	0.02808177754897615	0.04831488933336331	0.0756269000378506
Rearrangement Signature 4	0.004828064074285482	0.012012573346115949	0.009337934988830458	2.6671518602105056e-5	0.06860053926759016	3.410332476048367e-4	0.004524533767645138	0.017312774216117623	0.03714146537682197
Rearrangement Signature 5	0.19266684769021392	0.200345555521796	0.19903897098456214	0.10463136419845497	0.3043224651334102	0.13622790484881833	0.17807614579096562	0.22213404828917957	0.2668510228065464
Rearrangement Signature 6	0.01442314763342165	0.018178119552556223	0.01641975202777421	1.3166631352340419e-5	0.06786873455031753	7.063992756705828e-4	0.009660009007705389	0.025250264660240745	0.043706651028539246
