signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.0031668965927752635	0.012426721000663945	0.00784875725458626	3.689093617553374e-7	0.09086396024278731	2.2711593676224396e-4	0.0029585335880389254	0.017877484618554238	0.049272969023824074
Rearrangement Signature 2	0.3020589824359041	0.30391827182548764	0.30327928391713366	0.07369377850563974	0.5748019206733935	0.14577794451730972	0.25158101008991646	0.35719222630219105	0.46388679126794474
Rearrangement Signature 3	0.04463465934792697	0.060515627918922406	0.05409377388319852	0.0019106616379037649	0.2215544685402358	0.0077164721958764716	0.032293168561170864	0.080854587803898	0.1535770734361957
Rearrangement Signature 4	0.003974713273427022	0.013808696795149749	0.009376361494735443	1.4250952273143856e-5	0.09334488404115145	3.0508321062441666e-4	0.0038400815839211492	0.02058503455266401	0.0489821274721216
Rearrangement Signature 5	0.6029992857771735	0.5951208798097349	0.5961817205544363	0.3201477273340945	0.8639340385657273	0.42838326047042524	0.5410158493176296	0.6496718263852224	0.7554746811399057
Rearrangement Signature 6	0.004451544115982843	0.014209802650041316	0.009598539572948095	1.95480207809684e-6	0.09138431739540837	2.4249263987220356e-4	0.004228595162191984	0.01973743376731596	0.052135309576366216
