signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.00262792532372834	0.009359725172795683	0.006285253915303489	1.4295477752759721e-5	0.054093053653042546	1.3165872345356875e-4	0.002599008179940937	0.013085166153515064	0.03562992470854133
Rearrangement Signature 2	0.1484209142751692	0.15629529664140135	0.15289943119393756	0.0010214914791111503	0.35252428657469426	0.027717488406376337	0.10986700594479663	0.20015739539473001	0.2912252728182413
Rearrangement Signature 3	0.028361405304955796	0.044442067732547434	0.041405735481430034	5.568007377196626e-4	0.17150537375964384	0.005301243179848606	0.02358493386237063	0.06062786912715197	0.1071432849891358
Rearrangement Signature 4	0.0031196375343710506	0.010644776225111344	0.007360500614977608	2.8826113641366697e-5	0.0625497125991518	3.123859345085661e-4	0.003129135902836222	0.014343853069201998	0.04003005819250036
Rearrangement Signature 5	0.7765528664696767	0.7691550532720185	0.7706889694902302	0.5950148521000582	0.9757946683778856	0.6383352484930093	0.7226529638445631	0.8166958000983088	0.902179196749725
Rearrangement Signature 6	0.0034790844974323647	0.010103080956125662	0.007237075962618356	1.4113827203732221e-5	0.06164787945371809	3.944531975240917e-4	0.003362622449153918	0.014087985550496786	0.034338104160760406
