mutation_type	count
non-clustered|DEL|>10Mb	3
non-clustered|DEL|1-10kb	38
non-clustered|DEL|10-100kb	24
non-clustered|DEL|100kb-1Mb	17
non-clustered|DEL|1Mb-10Mb	9
non-clustered|DUP|>10Mb	5
non-clustered|DUP|1-10kb	13
non-clustered|DUP|10-100kb	25
non-clustered|DUP|100kb-1Mb	14
non-clustered|DUP|1Mb-10Mb	8
non-clustered|INV|>10Mb	10
non-clustered|INV|1-10kb	10
non-clustered|INV|10-100kb	12
non-clustered|INV|100kb-1Mb	17
non-clustered|INV|1Mb-10Mb	21
non-clustered|TRA|	207
clustered|DEL|1-10kb	2
clustered|DEL|10-100kb	8
clustered|DEL|100kb-1Mb	7
clustered|DEL|1Mb-10Mb	1
clustered|DUP|1-10kb	2
clustered|DUP|10-100kb	4
clustered|DUP|100kb-1Mb	3
clustered|DUP|1Mb-10Mb	1
clustered|INV|1-10kb	1
clustered|INV|10-100kb	3
clustered|INV|100kb-1Mb	1
clustered|INV|1Mb-10Mb	2
clustered|TRA|	5
clustered|DEL|>10Mb	0
clustered|DUP|>10Mb	0
clustered|INV|>10Mb	0
