signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.0861890798559563	0.08882403165999692	0.0882548536991993	0.051108389422487015	0.15367931052564823	0.061921569340446514	0.07925158066306254	0.09824649010916565	0.11911433823679952
Rearrangement Signature 2	0.5624350312088133	0.563387020373215	0.5636212624781063	0.4812041318084968	0.641731290757956	0.5112759780785652	0.5458523489147445	0.580991449502455	0.6165370937251828
Rearrangement Signature 3	0.06309186133106509	0.0658053905953729	0.06522703402951341	0.017221552555644542	0.12217754478608411	0.03745202646851262	0.05462781555948406	0.0761882588868106	0.10101040654533786
Rearrangement Signature 4	0.04247223794744828	0.045073869256937266	0.044635688866417514	0.013856676076278995	0.09010767680466153	0.02191474955704263	0.03595936409953121	0.05347009369186677	0.0701557761817678
Rearrangement Signature 5	0.2027524571246777	0.20510337542407267	0.20441450761915753	0.11445199887980567	0.2857945124870799	0.15740809365382083	0.18822174542727177	0.22162258506669621	0.2565285355750706
Rearrangement Signature 6	0.03159136617227297	0.031806312690405326	0.031077413546985275	0.003983940714526346	0.0718517652955348	0.009654359608895512	0.021997929737588594	0.040736276401472794	0.05825461622127489
