signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.08931562948051028	0.08908781986262454	0.08892631058081492	0.04787397355398351	0.15703756769975832	0.058706563365825394	0.07687526919268585	0.10051825532988981	0.1217961204134971
Rearrangement Signature 2	0.5594928278021015	0.5591156524422322	0.5594256086343004	0.4666829789573641	0.6449946261659097	0.5019301189707468	0.5382419621605543	0.5794856503433878	0.6138821495303376
Rearrangement Signature 3	0.07226393150138431	0.07648728523696788	0.07522688478304582	0.028576924799098565	0.13199165038044958	0.04514777564425788	0.0654411962173392	0.08687812561545602	0.111704922954102
Rearrangement Signature 4	0.03924627348354089	0.047347833065771554	0.045279027135214575	0.014398441409312427	0.09913546917730479	0.021361157002178544	0.036168034304274385	0.05752568747954158	0.08270658969560456
Rearrangement Signature 5	0.1680790987831165	0.17379353100535885	0.1732558568479945	0.0636161853261225	0.2512067958932218	0.12929355122050037	0.15659277581586337	0.19068477658807645	0.22077273097060063
Rearrangement Signature 6	0.054269347019668915	0.05416787838704499	0.054499501622835	0.0050609511966710485	0.11091023107112949	0.020481110078438457	0.04193840606420413	0.06589752789478748	0.09038591229947113
