signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	492.7391083112036	482.3032603109748	482.91327551693973	325.49224859419076	629.0626969991557	398.17757534351335	452.705945089316	513.0895097184496	568.6016990597644
Signature 2	28.34936518986612	31.128098851661377	30.220313192718045	0.4865571309366234	81.51988195153213	4.019073698799228	19.46865456654359	41.75021356349369	64.71923954108188
Signature 3	473.0821356692386	477.2023395047802	475.83657513322544	211.03225425988592	757.533212091303	308.97350385766373	414.7951386204659	538.6189980487276	649.4552650662339
Signature 4	3.807415615690563	10.923940634248527	8.238165492907516	0.060953296180195495	68.49851456278854	0.48756128861679476	3.67809909031305	15.842091163927794	33.74441269679085
Signature 5	457.2854644155867	497.6781821686673	491.0066641923326	42.716737018285265	980.5366512592508	141.02575510283347	378.3168200510381	624.8713051420461	814.7604185594388
Signature 6	5.388500186744524	17.080798188060836	13.771951488774967	0.04983161770407305	84.40001017142878	0.4936693282300224	6.071307827983357	23.294314973824445	60.327560890288204
Signature 7	4.430868162237992	15.485614767811242	11.868593338651753	0.12619221494696412	92.40507837075532	0.4910128347411458	4.599299835842452	22.33596959801796	52.2102225125641
Signature 8	39.20277636345551	72.18881830721428	62.66402627960235	0.1419002572311944	308.94371220135235	3.3792186991908046	31.54841353265344	102.34981485630834	194.69139335507214
Signature 9	335.8358919462556	333.28188592603175	332.47257802497234	159.33880754038782	536.4115544601867	228.46059751035295	294.44852277839334	371.1151387453867	443.71137132728916
Signature 10	1.840502662190361	6.230479898749617	4.70104144087518	0.0023939763856023547	53.37212274475497	0.19186213025642435	2.0113689608976673	8.305386814675881	22.453973391026715
Signature 11	59.94192300344689	66.66100876825465	63.28908958081148	0.33239974288396495	199.02289665383233	4.816691874526947	37.260330210457205	92.58847030838625	142.3971771376579
Signature 12	25.303837992384935	62.97822013272425	51.54627221891	0.2800211092776224	257.9734551312166	2.1865171491844815	24.869220509983798	89.86006305986503	182.98273920223986
Signature 13	4.1521640284941705	13.676823493585736	11.875132590753015	0.02100632688904117	62.25060892424147	0.3923886133225659	5.207231250641596	19.793374263188902	37.69869241500945
Signature 14	2.115052741227248	7.424255754179278	5.296953122505959	0.005043160503987436	50.754178787874835	0.17677606868687176	2.2618246729520135	10.055589619667824	27.119183089517616
Signature 15	6.335634177535615	18.07014369336492	13.886218467820495	0.041505215202674875	84.00607183568077	0.7719058179078118	6.207789268542852	26.539575615532115	56.45036621682506
Signature 16	40.659610274685235	91.34287985268969	76.02479872016949	0.21431012967713226	389.8068110770412	4.807164196525349	37.53854150876969	131.67617970298573	248.68239487150333
Signature 17	2.397398278195534	6.168287656210218	4.642949438199889	0.006639069211696455	32.16068997722716	0.23629349531821767	2.268235504075285	8.906461888277045	21.676310487710904
Signature 18	1.7323736805759538	6.0778116761773	4.09058461204538	0.0038548044989379793	39.86594769787001	0.18457449310501983	1.754892695008817	8.589468513061053	21.31393501279363
Signature 19	25.632047057562986	65.34949700675621	54.79944560541532	0.40019689834806027	263.5061523015014	3.2159223903345744	25.947453582279245	97.16437746090443	168.4770832348201
Signature 20	2.833241610987857	9.704957354576564	6.905998194203624	0.011189491902269984	59.51688449002813	0.2597178405098029	3.069321456291279	13.35444761904552	36.74066846354511
Signature 21	7.495423396570827	22.20323641367303	18.418920837397692	0.06860232628971574	115.07794160605879	0.6931148236627691	8.448868870321672	31.543461282249297	65.12064475132514
Signature 22	3.5819879547641618	12.526725508770856	9.505754679545365	0.020653456305394797	56.80107032749937	0.27466040814704157	3.71153413137628	18.51687898618777	40.173116092071254
Signature 23	7.902328155233063	24.749569994601053	19.33763621012521	0.22271524172395368	119.54232174213234	1.1990298699137305	8.688769878559906	34.98908516165935	82.37435024249186
Signature 24	2.5811845043657486	8.148980185255416	5.569179705707417	0.02888994054475542	45.37262186827629	0.20032226461477964	2.4449452906857196	11.40974588088828	29.453464750862665
Signature 25	127.88331863999306	132.4370024538258	131.1359688934834	0.8555900250284124	323.5564307894085	24.148997366996433	94.59793559009194	170.64502780682534	253.0325012620233
Signature 26	5.94606036651423	21.620503972353834	15.640706798687441	0.06425181250576396	135.53050222173766	0.48082046163060616	6.206866418407578	30.184015395977998	77.84244437264483
Signature 27	4.021827163920044	9.97416654302259	8.093327798003656	0.011778679785683664	39.149899198175426	0.35690530745973126	3.868049601865213	14.283019729385538	29.056161620292706
Signature 28	5.899373953623547	16.923720282674594	14.008206480631367	0.006398914691996595	74.66855862644503	0.48371281615977707	6.241264829412238	24.772155049488696	49.63688398076844
Signature 29	2.533957214864115	8.816011499615271	6.45803627657361	0.007886312486425389	45.9316688542884	0.18023123890328507	2.5491919021191003	12.927265176496663	32.211380742840134
Signature 30	38.49517847793509	71.6427791994888	66.57872916463636	1.159614679597416	244.42978010862493	5.604608778968709	34.74954057184631	100.65136533193538	173.66016186598978
