signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.01302824105893851	0.016935366528331004	0.015067496729091561	0.0010932200693506188	0.061481989475873154	0.0030811331255902463	0.00960020446546721	0.022232242294009476	0.040706046859568516
Rearrangement Signature 2	0.6870184448389032	0.6793425481597719	0.6818495666141495	0.5591185615189934	0.7656072791033659	0.61289102194793	0.6562622165209239	0.702719801564994	0.7402183086359042
Rearrangement Signature 3	0.05820737741035323	0.06448984868783945	0.062368675347217156	0.016134086753682282	0.1587857950200066	0.033101782198099346	0.05091722161877471	0.07584831751966678	0.10497916250920551
Rearrangement Signature 4	0.0017890439041627739	0.006608409715256954	0.005094262203385921	8.094329671083061e-6	0.03275424873171252	1.2546709441753868e-4	0.0020975399775882745	0.009137094778734103	0.02184854344557584
Rearrangement Signature 5	0.218711413085279	0.2223425804975626	0.22025798339696367	0.13779385175652323	0.31584695749307	0.16276052203090127	0.19942268187827017	0.24470166665761778	0.28875758960543674
Rearrangement Signature 6	0.0055352279044650465	0.010281246411238098	0.008487894610473348	2.933872298624407e-4	0.04216754155564428	0.0011066794493915975	0.004869996969456475	0.014037273847701226	0.026994567166648147
