signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	0.19494626846821264	0.19865773938170558	0.19832566526129317	0.1447884485847672	0.2525557355999197	0.16428717914119306	0.1878567062228857	0.21009284693753744	0.23217753454559092
Signature 2	0.004056910980772667	0.006616605039041826	0.005832293404125971	7.847937399168353e-6	0.022390582715191468	2.5169843175851714e-4	0.0029962907425827717	0.009310017098797387	0.017133861087817663
Signature 3	0.1318065958374552	0.1281675192914841	0.12943649810000893	0.020971895376356624	0.22888615486175798	0.05160344601563351	0.1035596707785664	0.15307968023222457	0.20208354213916693
Signature 4	9.119632057392286e-4	0.0034467665146104337	0.002450385002622046	1.8303496366807133e-6	0.02098371103227599	7.202834041380138e-5	9.588826223764131e-4	0.004916824590085561	0.012076116825781337
Signature 5	0.22606398819589027	0.24496085198222353	0.24407154116111057	0.03683506406264897	0.4982651340851855	0.09941006984209058	0.19703369607578325	0.2961650787949735	0.38444010391778954
Signature 6	0.0024910490768173628	0.00768766333117055	0.005831190484925648	3.2490809537339584e-5	0.043131966225101605	1.7793508580230346e-4	0.002478590097556659	0.011179350186469948	0.0248323503589315
Signature 7	0.0011517258345715748	0.0038624834138791943	0.002794384321526536	1.4600176609921323e-5	0.024974627714115603	1.2148106368535687e-4	0.0011641257884031175	0.005450816296838195	0.013111040331362397
Signature 8	0.05979393215679543	0.05676539906510916	0.05612956290083647	9.80707531714346e-4	0.14242679441060466	0.005354312967132416	0.036526854731199127	0.07571025667478624	0.11478610628992396
Signature 9	0.09685904550181716	0.09448675938650226	0.09410365664646589	0.035684958898124945	0.16721536622200187	0.05340728648804783	0.07958038118899705	0.10817582490138891	0.1386898900879096
Signature 10	0.0017458666674268178	0.004277279641194632	0.0033365304449010967	3.499478059545742e-5	0.01928797926710934	2.2334706491304818e-4	0.001589875322902503	0.006079688916481031	0.013719377592569446
