signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Signature 1	0.07277762416532024	0.07287343077058227	0.07326309769238029	0.013994301735438587	0.11761068891293942	0.03710544088971812	0.06372134661035792	0.08398344569658724	0.1020643033316904
Signature 2	0.016726051793809694	0.0183916312834726	0.018071446668863574	5.692140797868741e-5	0.03945599400333291	0.0036859387435716597	0.013778023527364796	0.022999840020628617	0.032366153645158366
Signature 3	0.255410117092827	0.26285663882923954	0.2620590241734737	0.11963046839630849	0.3867321423345624	0.17327170374141082	0.23697551124181757	0.2920605463907506	0.3443803622697794
Signature 4	0.002200852475632705	0.006048680406368975	0.004413023126396465	1.4288423256906712e-5	0.03597854264433116	2.455407168609487e-4	0.002114252514577696	0.008377728908063322	0.020603391482622097
Signature 5	0.19364901026254613	0.19502818187159085	0.19357636854540788	0.013295742603799381	0.4635180550432719	0.04661788303545755	0.13227944937963043	0.25273252779946365	0.3513986452176018
Signature 6	0.0033862241931057347	0.008869459952221008	0.0062654776576001455	3.9594580663117185e-05	0.06466682042799632	2.989678683329928e-4	0.0029295549921537515	0.012679893156129454	0.030900046847305396
Signature 7	0.0016635995275840793	0.00497088746876617	0.0036014039037114334	6.228107524569811e-6	0.0315726612656283	1.425969000160334e-4	0.0015770368479239134	0.007180755943228638	0.01543823626119676
Signature 8	0.0950909750810772	0.10115455160989886	0.10057354883123083	0.007125430459178451	0.1954166790272207	0.040659652649141294	0.07902559852380207	0.12292593183837994	0.16364650290838612
Signature 9	0.0673192228359846	0.06690781068479093	0.0661538515740068	0.009771671669444123	0.15736844589324928	0.022995287697275834	0.04819821143968271	0.08177337763758782	0.11928238633131114
Signature 10	9.646449417833715e-4	0.003209413710920103	0.002397944400310009	1.618124374512751e-5	0.013717790267849056	1.2240667879146036e-4	9.657473014184604e-4	0.004733614311181069	0.010482580199190676
Signature 11	0.015482344036803968	0.016502938237071597	0.015245720674890353	4.442002192332312e-5	0.05730685658892954	7.361347415056155e-4	0.007506610924865547	0.0235121603904673	0.040498103510529904
Signature 12	0.017965128329638282	0.03071606502007863	0.026988140763446182	1.8159795688713206e-4	0.10235771945602706	0.001390543583813763	0.01378322137572505	0.04437172823903216	0.081157793237339
Signature 13	0.0018884631004852186	0.004986803710676637	0.004148560883505428	3.7714814008200885e-6	0.02165836319253336	2.3490169063737106e-4	0.0020086288762061217	0.007241535836485147	0.01427769999613925
Signature 14	0.001252301243426339	0.0039546532832306115	0.0028196484918920207	9.929506441830702e-6	0.031192130366214578	1.130104261323799e-4	0.0011966461590594809	0.005610716737578576	0.012735039518793862
Signature 15	0.001187365012570882	0.0038786868668856563	0.002862123200113926	6.852536130916141e-6	0.024920753176484935	1.1321401804610635e-4	0.0011935423411038866	0.005645435907309731	0.012629078147837742
Signature 16	0.05714583838028505	0.06299925602278843	0.05908007332546364	2.868279239003887e-4	0.20199087490032025	0.0051898255102530025	0.03388739059998419	0.08614208985809138	0.14622216283395445
Signature 17	9.651824316454106e-4	0.002710696478138419	0.001880783802593502	2.8387095038482335e-6	0.017517254666820855	8.851212858170798e-5	9.129995409071132e-4	0.0037139178086908822	0.010186248420933594
Signature 18	5.680662367719652e-4	0.002118712077665084	0.0014281606978951685	4.6525283054749614e-6	0.01246325849018901	5.8389952308101774e-5	5.664775971754046e-4	0.0029322229173565357	0.0077963857637936215
Signature 19	0.004171696892299808	0.013073841539280354	0.010504724797678357	1.5430208810637313e-6	0.05595033808744854	2.999393151658638e-4	0.004553056005864833	0.019776985784342192	0.0369283774117041
Signature 20	0.0017247650228122522	0.006147089307823578	0.004506944257657782	9.9872395636944e-6	0.03351318794871633	1.8148027924945643e-4	0.0017863327674129859	0.009058169831824638	0.02085981940253602
Signature 21	0.0015516478588631665	0.004988858597012225	0.0034394993702285557	1.5416964036156504e-6	0.03176907560742734	1.1445390033178849e-4	0.0015475323227080895	0.006930814050760862	0.017482815709182288
