signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.005084879540130399	0.01473020866636001	0.01051729973707902	1.1768090915215143e-4	0.10542961318893432	8.883993994106384e-4	0.004937691474289542	0.02084606714816812	0.05143403801555803
Rearrangement Signature 2	0.022045531219497205	0.05645879013388618	0.03918339604568438	3.2788590812510754e-4	0.3726034577082551	0.00269316699504593	0.019494141057677432	0.08228807461884288	0.1879020178609001
Rearrangement Signature 3	0.07271495931504335	0.09243129501575328	0.08613598029890962	0.0014402007572552951	0.28912820257082333	0.021343138888007523	0.06163922562749055	0.11574567045487177	0.20578650763036024
Rearrangement Signature 4	0.004507814998771757	0.016098883946798145	0.010997944740594387	1.800787820004087e-5	0.13237376827655334	3.170479420775462e-4	0.004625458692708116	0.02173548798723983	0.05955348285122477
Rearrangement Signature 5	0.8453799563810751	0.8057669447140888	0.8177509906005018	0.48784197227313153	0.9568926683315165	0.6476522747176472	0.7635406715261134	0.8548311965683787	0.9094817556272397
Rearrangement Signature 6	0.0037992444561770807	0.01451387752311352	0.009560011669059232	2.083580739054014e-5	0.08850823825846643	2.032844064620537e-4	0.0036055587813523526	0.02044620892942295	0.059212614173256004
