signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.0034775737272536482	0.011083943503968335	0.007225032558861061	2.8874787732549822e-5	0.06576444894093432	4.051132648133859e-4	0.0033232772121525992	0.015774126619580865	0.038611427291249355
Rearrangement Signature 2	0.1934803880043718	0.21923795729683196	0.21780066241831653	0.022242743448142737	0.4073279964429868	0.07887845112866247	0.17304225363422746	0.2663621259069872	0.35919075893590846
Rearrangement Signature 3	0.1107059993046314	0.11687682287167082	0.11207732386222719	0.023062421330375	0.3053620564714221	0.037881638203719106	0.08265649307977657	0.14501374623851726	0.22186817361482325
Rearrangement Signature 4	0.003124260756917122	0.011222563141655062	0.007762772074015612	1.357473088223553e-5	0.069205505128402	2.3988337580102366e-4	0.003149552547959001	0.015530498173472079	0.04093468987310717
Rearrangement Signature 5	0.6246141007318287	0.6300713169103141	0.6309510634006721	0.3830030120415553	0.8673973467986423	0.46846997915058236	0.5742634526172768	0.689200649609794	0.7864348151396242
Rearrangement Signature 6	0.0032696979131143734	0.01150739627555968	0.007772669104668173	1.517886644963884e-5	0.07233662356051129	2.649659500002538e-4	0.003134232582713725	0.01648520495627967	0.04523477148538084
