mutation_type	count
non-clustered|DEL|>10Mb	6
non-clustered|DEL|1-10kb	36
non-clustered|DEL|10-100kb	21
non-clustered|DEL|100kb-1Mb	11
non-clustered|DEL|1Mb-10Mb	13
non-clustered|DUP|>10Mb	5
non-clustered|DUP|1-10kb	16
non-clustered|DUP|10-100kb	25
non-clustered|DUP|100kb-1Mb	12
non-clustered|DUP|1Mb-10Mb	10
non-clustered|INV|>10Mb	12
non-clustered|INV|1-10kb	7
non-clustered|INV|10-100kb	16
non-clustered|INV|100kb-1Mb	36
non-clustered|INV|1Mb-10Mb	26
non-clustered|TRA|	195
clustered|DEL|1-10kb	3
clustered|DEL|10-100kb	5
clustered|DEL|100kb-1Mb	7
clustered|DUP|10-100kb	1
clustered|DUP|100kb-1Mb	8
clustered|INV|100kb-1Mb	2
clustered|INV|1Mb-10Mb	3
clustered|TRA|	6
clustered|DEL|1Mb-10Mb	0
clustered|DEL|>10Mb	0
clustered|DUP|1-10kb	0
clustered|DUP|1Mb-10Mb	0
clustered|DUP|>10Mb	0
clustered|INV|1-10kb	0
clustered|INV|10-100kb	0
clustered|INV|>10Mb	0
