signature	mode_exposure	mean_exposure	median_exposure	0%	100%	2.5%	25%	75%	97.5%
Rearrangement Signature 1	0.003805262072017755	0.012848864552627882	0.0091976150645149	7.1136335378355565e-6	0.0719298964331301	2.4508020046001063e-4	0.003814507682377607	0.01823912617481027	0.04490895325622733
Rearrangement Signature 2	0.17448199118621346	0.1761770383996017	0.17293594968707232	0.006385987900803038	0.46231714892365583	0.02773179756423572	0.115104131391008	0.22869272850889955	0.3400863630681252
Rearrangement Signature 3	0.043227437471497	0.06411068735920998	0.05754026246362712	6.405228275863403e-4	0.26281115626205137	0.009010810266465767	0.035470201921435525	0.08551502465305486	0.15534107030699792
Rearrangement Signature 4	0.006393220950805696	0.0208800077384037	0.015820526134621232	6.873538283143308e-5	0.11501869211768007	8.196286493669175e-4	0.007073607195624979	0.029476761538906323	0.07302200140574486
Rearrangement Signature 5	0.7128093299922926	0.7063608685475653	0.7073832506154454	0.42179727735237016	0.9262712718829171	0.5265807741788239	0.6453494075227648	0.7678344409276928	0.8654149254202705
Rearrangement Signature 6	0.006573522261216267	0.019622533402591468	0.014292536508601239	7.042340090723798e-5	0.090105991573045	0.001008762272570754	0.006433660136311747	0.027926903642026935	0.06388147242034775
